"name","image","party","status","email","term"
"Bent Frederiksen","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","1984-06-06"
"Hans Iversen","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","1984-06-06"
"Andreas Sanimuinnaq","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1984-06-06"
"Aqqaluk Lynge","/css/images/INAT-dukke-lys.jpg","Inuit_Ataqatigiit","Member of Inatsisartut","","1984-06-06"
"Emilie Lennert","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1984-06-06"
"Hendrik Nielsen","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","1984-06-06"
"Henriette Rasmussen","/css/images/INAT-dukke-lys.jpg","Inuit_Ataqatigiit","Member of Inatsisartut","","1984-06-06"
"Holger Sivertsen","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1984-06-06"
"Ingvar Høegh","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1984-06-06"
"Isak Lund","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","1984-06-06"
"Jakob Sivertsen","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1984-06-06"
"Jan Str. Christophersen","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1984-06-06"
"Jens Lyberth","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","1984-06-06"
"Jens Geisler","/css/images/INAT-dukke-lys.jpg","Inuit_Ataqatigiit","Member of Inatsisartut","","1984-06-06"
"Jonathan Motzfeldt","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","jomo@gh.gl","1984-06-06"
"Knud Sørensen","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1984-06-06"
"Konrad Steenholdt","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1984-06-06"
"Lars-Emil Johansen","/media/753863/Lars-Emil Johansen - 07533.jpg","Siumut","Member of Inatsisartut","larsemil@inatsisartut.gl","1984-06-06"
"Moses Olsen","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","1984-06-06"
"Niels Carlo Heilmann","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1984-06-06"
"Otto Steenholdt","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1984-06-06"
"Pavia Nielsen","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","1984-06-06"
"Peter Ostermann","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1984-06-06"
"Preben Lange","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","1984-06-06"
"Uusaqqak Qujaukitsoq","/media/2316160/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","1984-06-06"
